alpha_1,alpha_2,imaginary,real
720.036,35280.036,1.523989597,-0.697344921
720.036,34920.036,1.524177801,-0.697343039
360.036,17280.036,1.52436968,-0.697341951
720.036,34560.036,1.524369901,-0.697341119
720.036,34200.036,1.524566018,-0.697339158
360.036,16920.036,1.52476603,-0.697338022
720.036,33840.036,1.52476628,-0.697337154
720.036,33480.036,1.52497082,-0.697335108
360.036,16560.036,1.525179493,-0.697333923
720.036,33120.036,1.525179776,-0.697333017
720.036,32760.036,1.525393292,-0.697330879
360.036,16200.036,1.525611203,-0.697329641
720.036,32400.036,1.52561152,-0.697328694
720.036,32040.036,1.525834618,-0.69732646
360.036,15840.036,1.526062395,-0.697325165
720.036,31680.036,1.526062749,-0.697324174
720.036,31320.036,1.526296088,-0.697321835
360.036,15480.036,1.526534417,-0.69732048
720.036,30960.036,1.526534813,-0.697319442
720.036,30600.036,1.526779113,-0.697316992
360.036,15120.036,1.527028747,-0.697315572
720.036,30240.036,1.527029187,-0.697314484
720.036,29880.036,1.527285241,-0.697311914
360.036,14760.036,1.527547005,-0.697310424
720.036,29520.036,1.527547493,-0.697309282
720.036,29160.036,1.52781617,-0.697306584
360.036,14400.036,1.528090971,-0.697305019
720.036,28800.036,1.528091511,-0.697303818
720.036,28440.036,1.528373767,-0.697300982
360.036,14040.036,1.528662606,-0.697299336
720.036,28080.036,1.528663203,-0.697298073
720.036,27720.036,1.528960096,-0.697295088
360.036,13680.036,1.529264077,-0.697293353
720.036,27360.036,1.529264737,-0.697292023
720.036,27000.036,1.529577434,-0.697288876
360.036,13320.036,1.529897782,-0.697287048
720.036,26640.036,1.52989851,-0.697285644
720.036,26280.036,1.530228309,-0.697282322
360.036,12960.036,1.530566385,-0.697280391
720.036,25920.036,1.530567188,-0.697278908
720.036,25560.036,1.53091553,-0.697275397
360.036,12600.036,1.53127285,-0.697273354
720.036,25200.036,1.531273735,-0.697271784
720.036,24840.036,1.53164223,-0.697268066
360.036,12240.036,1.532020486,-0.697265902
720.036,24480.036,1.532021462,-0.697264238
720.036,24120.036,1.53241191,-0.697260295
360.036,11880.036,1.532813002,-0.697257998
720.036,23760.036,1.532814078,-0.697256232
1080.036,35640.036,1.532814437,-0.697255643
1080.036,35280.036,1.533089335,-0.697252852
720.036,23400.036,1.533228502,-0.697252042
1080.036,34920.036,1.533369847,-0.697250003
360.036,11520.036,1.533654563,-0.697249599
720.036,23040.036,1.53365575,-0.697247721
