alpha_1,alpha_2,Imag,Real
1080.036,13320.036,8.036032234,-0.566040008
1080.036,13680.036,8.042519447,-0.567054817
1080.036,14040.036,8.048692817,-0.568021499
1080.036,14400.036,8.054574583,-0.568943398
1080.036,14760.036,8.060184936,-0.569823556
1080.036,15120.036,8.065542241,-0.570664744
1080.036,15480.036,8.070663243,-0.571469495
1080.036,15840.036,8.075563242,-0.572240125
1080.036,16200.036,8.080256245,-0.572978759
1080.036,16560.036,8.084755099,-0.57368735
1080.036,16920.036,8.08907161,-0.574367693
1080.036,17280.036,8.093216644,-0.575021445
1080.036,17640.036,8.097200222,-0.575650135
1080.036,18000.036,8.101031599,-0.576255177
1080.036,18360.036,8.104719334,-0.57683788
1080.036,18720.036,8.108271359,-0.577399459
1080.036,19080.036,8.11169503,-0.577941042
1080.036,19440.036,8.114997181,-0.578463679
1080.036,19800.036,8.11818417,-0.578968346
1080.036,20160.036,8.121261919,-0.579455955
1080.036,20520.036,8.12423595,-0.579927356
1080.036,20880.036,8.12711142,-0.580383344
1080.036,21240.036,8.129893149,-0.580824663
1080.036,21600.036,8.132585649,-0.581252009
1080.036,21960.036,8.135193143,-0.581666035
1080.036,22320.036,8.137719597,-0.582067355
1080.036,22680.036,8.140168731,-0.582456545
1080.036,23040.036,8.142544041,-0.582834147
1080.036,23400.036,8.144848815,-0.58320067
1080.036,23760.036,8.14708615,-0.583556595
1080.036,24120.036,8.149258963,-0.583902375
1080.036,24480.036,8.151370006,-0.584238438
1080.036,24840.036,8.153421877,-0.584565187
1080.036,25200.036,8.155417028,-0.584883005
1080.036,25560.036,8.15735778,-0.585192253
1080.036,25920.036,8.159246328,-0.585493273
1080.036,26280.036,8.16108475,-0.585786388
1080.036,26640.036,8.162875016,-0.586071907
1080.036,27000.036,8.164618994,-0.58635012
1080.036,27360.036,8.166318456,-0.586621305
1080.036,27720.036,8.167975085,-0.586885725
1080.036,28080.036,8.169590481,-0.587143629
1080.036,28440.036,8.171166164,-0.587395256
1080.036,28800.036,8.17270358,-0.587640831
1080.036,29160.036,8.174204108,-0.587880571
1080.036,29520.036,8.175669059,-0.588114681
1080.036,29880.036,8.177099684,-0.588343358
1080.036,30240.036,8.178497174,-0.588566787
1080.036,30600.036,8.179862669,-0.588785148
1080.036,30960.036,8.181197255,-0.588998612
1080.036,31320.036,8.182501969,-0.58920734
1080.036,31680.036,8.183777803,-0.58941149
1080.036,32040.036,8.185025706,-0.589611209
1080.036,32400.036,8.186246585,-0.589806641
1080.036,32760.036,8.187441309,-0.589997923
1080.036,33120.036,8.188610708,-0.590185184
