alpha_1,alpha_2,omega_n,zeta,PO,omega_d,t_p,t_r,t_s
6.30001,0.80001,6.846454919,0.921673602,0.057373763,2.656193094,1.182742573,1.032744469,0.770001356
5.50001,0.70001,6.855662833,0.920367722,0.061498327,2.680934601,1.171827411,1.021963053,0.768801825
0.80001,0.10001,6.910919418,0.92134932,0.058380454,2.686520982,1.169390701,1.020775092,0.762776148
9.40001,1.20001,6.857121646,0.919413445,0.064632294,2.696853874,1.164910225,1.015028227,0.768530729
4.70001,0.60001,6.867977895,0.918626314,0.067294616,2.713726534,1.157667368,1.007981476,0.767235569
8.60001,1.10001,6.863987395,0.918373843,0.068163483,2.716175174,1.156623727,1.006837708,0.767657384
7.80001,1.00001,6.87224813,0.917125542,0.072567066,2.739267583,1.146873227,0.997202504,0.766625852
3.90001,0.50001,6.885292147,0.916187874,0.075993816,2.759274109,1.138557653,0.989121885,0.765103632
7.00001,0.90001,6.882377101,0.915598684,0.078199848,2.767357955,1.135231764,0.985702137,0.765388805
9.30001,1.20001,6.889634885,0.914076952,0.084088377,2.794027916,1.124395585,0.974944549,0.764499759
6.20001,0.80001,6.895088937,0.913688309,0.085636829,2.802272001,1.121087693,0.971734715,0.763877907
8.50001,1.10001,6.899575719,0.912545828,0.090294924,2.821750271,1.113348933,0.964033821,0.763340041
3.10001,0.40001,6.911425176,0.912529121,0.090364227,2.82685404,1.111338827,0.962278846,0.762030815
5.40001,0.70001,6.911516032,0.911229143,0.095861855,2.846852106,1.10353209,0.954406688,0.761990685
7.70001,1.00001,6.911553758,0.91070626,0.098132209,2.854849117,1.100440873,0.951289162,0.761979233
9.20001,1.20001,6.92261424,0.908710123,0.107115152,2.889691174,1.087172457,0.938155566,0.760758765
6.90001,0.90001,6.926266804,0.908454588,0.108301562,2.895065705,1.085154181,0.936202621,0.760359976
4.60001,0.60001,6.93356614,0.907945002,0.110692413,2.905783644,1.081151606,0.932330445,0.75956613
8.40001,1.10001,6.93572243,0.906681554,0.116764324,2.925597225,1.073829516,0.924989115,0.759356917
2.30001,0.30001,6.955418059,0.906428019,0.118007669,2.937692654,1.069408214,0.920976167,0.757213815
6.10001,0.80001,6.944772473,0.905634832,0.1219516,2.944989304,1.066758595,0.918057902,0.758400787
9.90001,1.30001,6.942300275,0.905450672,0.122879064,2.946669799,1.06615022,0.91738702,0.75867777
7.60001,1.00001,6.951540417,0.904242873,0.129072465,2.968436585,1.058332413,0.909704342,0.757722102
9.10001,1.20001,6.956070932,0.903312445,0.133975383,2.984037894,1.052799182,0.90421967,0.757277997
3.80001,0.50001,6.964723155,0.903336969,0.133844675,2.987389874,1.051617896,0.903224234,0.756335839
5.30001,0.70001,6.96875448,0.90200091,0.141083265,3.008649148,1.044187108,0.895810076,0.7559819
6.80001,0.90001,6.97100551,0.90125569,0.145225346,3.020450549,1.040107296,0.89173955,0.755790971
8.30001,1.10001,6.972442251,0.90078035,0.147906754,3.027957239,1.037528738,0.889166919,0.755671576
9.80001,1.30001,6.973438871,0.900450763,0.149784048,3.033152724,1.035751556,0.887393848,0.755589873
9.00001,1.20001,6.990016561,0.897883395,0.164918479,3.077238465,1.020912968,0.872774122,0.754032442
