alpha_1,alpha_2,Imag,Real
360.036,32400.036,8.328436011,-0.606440739
360.036,32760.036,8.328102001,-0.606455709
360.036,33120.036,8.327775191,-0.606470357
360.036,33480.036,8.327455352,-0.606484694
360.036,33840.036,8.327142262,-0.60649873
360.036,34200.036,8.326835711,-0.606512473
360.036,34560.036,8.326535496,-0.606525933
360.036,34920.036,8.326241422,-0.606539118
360.036,35280.036,8.325953303,-0.606552038
360.036,35640.036,8.325670959,-0.606564699
720.036,0.036,0,-0.600551191
720.036,360.036,9.40954562,-0.628787431
720.036,720.036,9.583240375,-0.566949033
720.036,1080.036,9.411329423,-0.563049719
720.036,1440.036,9.247915254,-0.566995501
720.036,1800.036,9.118599602,-0.571584852
720.036,2160.036,9.01760229,-0.575625384
720.036,2520.036,8.9376121,-0.57900272
720.036,2880.036,8.873080052,-0.581806414
720.036,3240.036,8.820085175,-0.584147637
720.036,3600.036,8.775866248,-0.586121564
720.036,3960.036,8.738451042,-0.587803101
720.036,4320.036,8.706404265,-0.589249911
720.036,4680.036,8.678661234,-0.590506323
720.036,5040.036,8.654417755,-0.591606626
720.036,5400.036,8.633056188,-0.592577605
720.036,5760.036,8.614094932,-0.593440398
720.036,6120.036,8.597153268,-0.594211867
720.036,6480.036,8.58192646,-0.594905601
720.036,6840.036,8.568167823,-0.595532658
720.036,7200.036,8.555675607,-0.596102118
