alpha_1,alpha_2,Imag,Real
720.036,720.036,0.643192978,-0.035174947
720.036,1080.036,0.704380449,-0.04212971
720.036,1440.036,0.742339914,-0.046772733
720.036,1800.036,0.76828936,-0.050092353
720.036,2160.036,0.787181093,-0.052583799
720.036,2520.036,0.801561521,-0.054522614
720.036,2880.036,0.812879363,-0.056074308
720.036,3240.036,0.82202132,-0.057344301
720.036,3600.036,0.82956116,-0.05840292
720.036,3960.036,0.835886844,-0.059298882
720.036,4320.036,0.841270232,-0.060066999
720.036,4680.036,0.84590755,-0.060732813
720.036,5040.036,0.849944012,-0.061315486
720.036,5400.036,0.853489408,-0.061829676
720.036,5760.036,0.856628288,-0.062286786
720.036,6120.036,0.859426832,-0.06269582
720.036,6480.036,0.861937584,-0.063063985
720.036,6840.036,0.864202793,-0.063397113
720.036,7200.036,0.86625682,-0.06369998
720.036,7560.036,0.868127897,-0.063976529
720.036,7920.036,0.869839437,-0.064230049
720.036,8280.036,0.871411018,-0.0644633
720.036,8640.036,0.87285914,-0.06467862
720.036,9000.036,0.874197806,-0.064878
720.036,9360.036,0.875438979,-0.065063146
720.036,9720.036,0.876592938,-0.065235532
720.036,10080.036,0.877668566,-0.065396431
720.036,10440.036,0.87867358,-0.065546955
720.036,10800.036,0.879614713,-0.065688076
720.036,11160.036,0.88049787,-0.065820649
720.036,11520.036,0.88132825,-0.065945427
720.036,11880.036,0.882110447,-0.066063078
720.036,12240.036,0.882848538,-0.066174196
720.036,12600.036,0.883546151,-0.06627931
720.036,12960.036,0.884206528,-0.066378894
720.036,13320.036,0.884832573,-0.066473374
720.036,13680.036,0.885426897,-0.066563131
720.036,14040.036,0.88599185,-0.066648512
720.036,14400.036,0.886529559,-0.066729829
720.036,14760.036,0.887041946,-0.066807365
720.036,15120.036,0.887530762,-0.066881378
720.036,15480.036,0.887997594,-0.066952102
720.036,15840.036,0.888443895,-0.067019753
720.036,16200.036,0.888870989,-0.067084526
720.036,16560.036,0.889280091,-0.067146601
720.036,16920.036,0.889672314,-0.067206143
720.036,17280.036,0.890048681,-0.067263304
720.036,17640.036,0.890410135,-0.067318225
720.036,18000.036,0.890757546,-0.067371033
720.036,18360.036,0.891091716,-0.06742185
720.036,18720.036,0.891413388,-0.067470785
720.036,19080.036,0.89172325,-0.067517941
720.036,19440.036,0.892021942,-0.067563413
720.036,19800.036,0.892310056,-0.067607291
720.036,20160.036,0.892588145,-0.067649655
720.036,20520.036,0.892856723,-0.067690584
720.036,20880.036,0.89311627,-0.06773015
720.036,21240.036,0.893367233,-0.067768418
720.036,21600.036,0.893610032,-0.067805452
720.036,21960.036,0.893845059,-0.067841311
720.036,22320.036,0.894072681,-0.067876049
720.036,22680.036,0.894293243,-0.067909719
720.036,23040.036,0.894507068,-0.067942369
720.036,23400.036,0.89471446,-0.067974044
720.036,23760.036,0.894915705,-0.068004788
720.036,24120.036,0.895111072,-0.068034641
720.036,24480.036,0.895300816,-0.068063642
720.036,24840.036,0.895485176,-0.068091825
720.036,25200.036,0.895664377,-0.068119226
720.036,25560.036,0.895838633,-0.068145876
720.036,25920.036,0.896008147,-0.068171807
720.036,26280.036,0.896173108,-0.068197046
720.036,26640.036,0.896333699,-0.06822162
720.036,27000.036,0.89649009,-0.068245557
720.036,27360.036,0.896642444,-0.06826888
720.036,27720.036,0.896790915,-0.068291613
720.036,28080.036,0.896935651,-0.068313778
720.036,28440.036,0.897076789,-0.068335395
720.036,28800.036,0.897214464,-0.068356485
720.036,29160.036,0.8973488,-0.068377067
720.036,29520.036,0.897479918,-0.068397159
720.036,29880.036,0.897607932,-0.068416779
720.036,30240.036,0.89773295,-0.068435942
720.036,30600.036,0.897855078,-0.068454665
720.036,30960.036,0.897974413,-0.068472963
720.036,31320.036,0.898091051,-0.068490849
720.036,31680.036,0.898205082,-0.068508338
720.036,32040.036,0.898316592,-0.068525442
720.036,32400.036,0.898425665,-0.068542175
720.036,32760.036,0.898532379,-0.068558548
720.036,33120.036,0.89863681,-0.068574573
720.036,33480.036,0.89873903,-0.068590261
720.036,33840.036,0.898839109,-0.068605621
720.036,34200.036,0.898937113,-0.068620665
720.036,34560.036,0.899033107,-0.068635402
720.036,34920.036,0.899127152,-0.068649842
720.036,35280.036,0.899219305,-0.068663992
720.036,35640.036,0.899309625,-0.068677863
1080.036,0.036,0.00524489,-0.000386464
1080.036,360.036,0.455146318,-0.017731985
1080.036,720.036,0.57546361,-0.028163341
1080.036,1080.036,0.643200767,-0.035127488
1080.036,1440.036,0.687468035,-0.040106697
1080.036,1800.036,0.718859459,-0.043843726
1080.036,2160.036,0.742344939,-0.046751852
1080.036,2520.036,0.760603408,-0.049079325
1080.036,2880.036,0.77521717,-0.050984263
1080.036,3240.036,0.787184567,-0.05257215
1080.036,3600.036,0.797168036,-0.05391606
1080.036,3960.036,0.805625041,-0.05506821
1080.036,4320.036,0.812881952,-0.056066909
1080.036,4680.036,0.819178009,-0.0569409
1080.036,5040.036,0.824692663,-0.057712168
1080.036,5400.036,0.829563195,-0.058397818
1080.036,5760.036,0.833896445,-0.059011358
1080.036,6120.036,0.837776819,-0.059563594
1080.036,6480.036,0.841271895,-0.060063277
1080.036,6840.036,0.844436425,-0.060517568
1080.036,7200.036,0.847315242,-0.060932384
1080.036,7560.036,0.849945412,-0.061312656
1080.036,7920.036,0.852357848,-0.061662526
1080.036,8280.036,0.854578539,-0.0619855
1080.036,8640.036,0.856629492,-0.062284565
1080.036,9000.036,0.858529466,-0.06256228
1080.036,9360.036,0.860294554,-0.062820853
1080.036,9720.036,0.861938637,-0.063062198
1080.036,10080.036,0.863473755,-0.06328798
1080.036,10440.036,0.864910398,-0.063499658
1080.036,10800.036,0.866257755,-0.063698513
1080.036,11160.036,0.867523901,-0.063885677
1080.036,11520.036,0.868715968,-0.06406215
1080.036,11880.036,0.869840276,-0.064228824
1080.036,12240.036,0.870902445,-0.064386493
1080.036,12600.036,0.87190749,-0.064535867
1080.036,12960.036,0.872859901,-0.064677584
1080.036,13320.036,0.873763707,-0.064812217
1080.036,13680.036,0.87462254,-0.064940286
1080.036,14040.036,0.875439674,-0.065062259
1080.036,14400.036,0.876218077,-0.065178561
1080.036,14760.036,0.876960438,-0.065289578
1080.036,15120.036,0.877669206,-0.065395663
1080.036,15480.036,0.87834661,-0.065497138
1080.036,15840.036,0.878994688,-0.065594295
1080.036,16200.036,0.879615305,-0.065687406
1080.036,16560.036,0.88021017,-0.065776718
1080.036,16920.036,0.880780853,-0.065862458
1080.036,17280.036,0.881328801,-0.065944838
1080.036,17640.036,0.881855345,-0.066024049
1080.036,18000.036,0.882361717,-0.066100273
1080.036,18360.036,0.882849053,-0.066173674
1080.036,18720.036,0.883318407,-0.066244407
1080.036,19080.036,0.883770757,-0.066312614
1080.036,19440.036,0.884207011,-0.066378429
1080.036,19800.036,0.884628013,-0.066441975
1080.036,20160.036,0.885034549,-0.066503368
1080.036,20520.036,0.885427352,-0.066562714
1080.036,20880.036,0.885807106,-0.066620116
1080.036,21240.036,0.886174453,-0.066675666
1080.036,21600.036,0.886529988,-0.066729453
1080.036,21960.036,0.886874275,-0.06678156
1080.036,22320.036,0.887207837,-0.066832064
1080.036,22680.036,0.887531169,-0.066881038
1080.036,23040.036,0.887844734,-0.06692855
1080.036,23400.036,0.888148968,-0.066974665
1080.036,23760.036,0.888444282,-0.067019444
1080.036,24120.036,0.888731062,-0.067062944
1080.036,24480.036,0.889009673,-0.067105219
1080.036,24840.036,0.88928046,-0.067146319
1080.036,25200.036,0.889543746,-0.067186294
1080.036,25560.036,0.88979984,-0.067225189
1080.036,25920.036,0.890049033,-0.067263047
1080.036,26280.036,0.890291599,-0.067299908
1080.036,26640.036,0.8905278,-0.067335813
1080.036,27000.036,0.890757882,-0.067370797
1080.036,27360.036,0.890982082,-0.067404895
1080.036,27720.036,0.89120062,-0.067438142
1080.036,28080.036,0.89141371,-0.067470567
1080.036,28440.036,0.891621553,-0.067502202
1080.036,28800.036,0.891824339,-0.067533075
1080.036,29160.036,0.892022251,-0.067563212
1080.036,29520.036,0.892215464,-0.067592641
1080.036,29880.036,0.892404142,-0.067621386
1080.036,30240.036,0.892588443,-0.06764947
1080.036,30600.036,0.892768517,-0.067676915
1080.036,30960.036,0.892944509,-0.067703744
1080.036,31320.036,0.893116556,-0.067729977
1080.036,31680.036,0.893284789,-0.067755634
1080.036,32040.036,0.893449333,-0.067780733
1080.036,32400.036,0.893610308,-0.067805292
1080.036,32760.036,0.89376783,-0.067829329
1080.036,33120.036,0.893922008,-0.067852859
1080.036,33480.036,0.894072948,-0.0678759
1080.036,33840.036,0.89422075,-0.067898466
1080.036,34200.036,0.894365511,-0.067920571
1080.036,34560.036,0.894507325,-0.06794223
1080.036,34920.036,0.89464628,-0.067963455
1080.036,35280.036,0.894782462,-0.067984261
1080.036,35640.036,0.894915954,-0.068004658
1440.036,0.036,0.0045454,-0.000289865
1440.036,360.036,0.407160816,-0.014197405
1440.036,720.036,0.525430918,-0.023482493
1440.036,1080.036,0.595616066,-0.030121199
1440.036,1440.036,0.643204666,-0.035103759
1440.036,1800.036,0.677887344,-0.038981165
1440.036,2160.036,0.704389812,-0.042084396
1440.036,2520.036,0.725343953,-0.044624264
1440.036,2880.036,0.742347452,-0.046741412
1440.036,3240.036,0.75643194,-0.048533263
1440.036,3600.036,0.76829556,-0.05006944
1440.036,3960.036,0.778428674,-0.05140102
1440.036,4320.036,0.787186305,-0.052566326
1440.036,4680.036,0.794832076,-0.053594671
1440.036,5040.036,0.801565984,-0.05450886
1440.036,5400.036,0.807542583,-0.055326903
1440.036,5760.036,0.812883246,-0.056063209
1440.036,6120.036,0.817684644,-0.056729446
1440.036,6480.036,0.822024744,-0.057335161
1440.036,6840.036,0.825967137,-0.057888244
1440.036,7200.036,0.829564213,-0.058395267
1440.036,7560.036,0.832859527,-0.058861756
1440.036,7920.036,0.835889593,-0.059292384
1440.036,8280.036,0.838685249,-0.059691132
1440.036,8640.036,0.841272727,-0.060061416
1440.036,9000.036,0.843674478,-0.060406177
1440.036,9360.036,0.845909831,-0.060727966
1440.036,9720.036,0.847995522,-0.061029006
1440.036,10080.036,0.849946111,-0.061311241
1440.036,10440.036,0.851774328,-0.061576379
1440.036,10800.036,0.85349135,-0.061825928
1440.036,11160.036,0.855107031,-0.062061224
1440.036,11520.036,0.856630093,-0.062283454
1440.036,11880.036,0.858068287,-0.062493677
1440.036,12240.036,0.859428518,-0.06269284
1440.036,12600.036,0.860716963,-0.062881794
1440.036,12960.036,0.861939164,-0.063061304
1440.036,13320.036,0.863100104,-0.063232061
1440.036,13680.036,0.864204279,-0.06339469
1440.036,14040.036,0.865255756,-0.063549758
1440.036,14400.036,0.866258222,-0.06369778
1440.036,14760.036,0.867215028,-0.063839225
1440.036,15120.036,0.868129224,-0.063974523
1440.036,15480.036,0.869003598,-0.064104066
1440.036,15840.036,0.869840696,-0.064228212
1440.036,16200.036,0.870642854,-0.064347294
1440.036,16560.036,0.871412215,-0.064461613
1440.036,16920.036,0.872150752,-0.064571451
1440.036,17280.036,0.872860281,-0.064677066
1440.036,17640.036,0.873542479,-0.064778696
1440.036,18000.036,0.874198896,-0.064876563
1440.036,18360.036,0.874830967,-0.064970873
1440.036,18720.036,0.875440022,-0.065061816
1440.036,19080.036,0.876027296,-0.065149568
1440.036,19440.036,0.876593938,-0.065234295
1440.036,19800.036,0.877141015,-0.065316151
1440.036,20160.036,0.877669526,-0.06539528
1440.036,20520.036,0.878180398,-0.065471814
1440.036,20880.036,0.878674502,-0.065545881
1440.036,21240.036,0.879152649,-0.065617596
1440.036,21600.036,0.879615601,-0.065687071
1440.036,21960.036,0.88006407,-0.065754409
1440.036,22320.036,0.880498726,-0.065819707
1440.036,22680.036,0.880920198,-0.065883056
1440.036,23040.036,0.881329076,-0.065944543
1440.036,23400.036,0.881725918,-0.066004247
1440.036,23760.036,0.882111246,-0.066062247
1440.036,24120.036,0.882485554,-0.066118612
1440.036,24480.036,0.88284931,-0.066173413
1440.036,24840.036,0.883202953,-0.066226712
1440.036,25200.036,0.883546899,-0.066278571
1440.036,25560.036,0.883881541,-0.066329048
1440.036,25920.036,0.884207253,-0.066378197
1440.036,26280.036,0.884524386,-0.066426069
1440.036,26640.036,0.884833276,-0.066472714
1440.036,27000.036,0.88513424,-0.066518178
1440.036,27360.036,0.885427579,-0.066562506
1440.036,27720.036,0.88571358,-0.06660574
1440.036,28080.036,0.885992513,-0.066647919
1440.036,28440.036,0.886264639,-0.066689082
1440.036,28800.036,0.886530203,-0.066729266
1440.036,29160.036,0.886789441,-0.066768504
1440.036,29520.036,0.887042574,-0.066806829
1440.036,29880.036,0.887289817,-0.066844274
1440.036,30240.036,0.887531373,-0.066880868
1440.036,30600.036,0.887767435,-0.06691664
