alpha_1,alpha_2,imaginary part,real part
8640.036,0.036,0.016506152,-0.004009911
8280.036,0.036,0.016839466,-0.004184228
7920.036,0.036,0.017193696,-0.004374389
7560.036,0.036,0.017571103,-0.004582657
7200.036,0.036,0.01797431,-0.004811748
6840.036,0.036,0.018406363,-0.00506495
6480.036,0.036,0.018870834,-0.005346279
6120.036,0.036,0.019371932,-0.0056607
5760.036,0.036,0.019914661,-0.006014413
5400.036,0.036,0.020505011,-0.006415278
5040.036,0.036,0.021150218,-0.006873394
4680.036,0.036,0.021859097,-0.00740197
4320.036,0.036,0.022642488,-0.008018617
3960.036,0.036,0.023513838,-0.008747344
3600.036,0.036,0.024489958,-0.009621766
3240.036,0.036,0.025591948,-0.010690428
2880.036,0.036,0.026846186,-0.012026138
2520.036,0.036,0.028284764,-0.013743291
2160.036,0.036,0.029943093,-0.016032499
1800.036,0.036,0.031845669,-0.019236767
720.036,0.036,0.033895744,-0.048044323
1440.036,0.036,0.033940415,-0.024041829
1080.036,0.036,0.035762986,-0.032046789
35640.036,360.036,0.832209218,-0.007033434
35280.036,360.036,0.836401264,-0.007104378
34920.036,360.036,0.840657304,-0.007176767
34560.036,360.036,0.844978984,-0.007250647
34200.036,360.036,0.849368007,-0.007326064
33840.036,360.036,0.853826141,-0.007403066
33480.036,360.036,0.85835522,-0.007481704
33120.036,360.036,0.862957145,-0.007562031
32760.036,360.036,0.86763389,-0.007644101
32400.036,360.036,0.872387504,-0.007727972
32040.036,360.036,0.877220117,-0.007813704
31680.036,360.036,0.882133942,-0.00790136
31320.036,360.036,0.887131278,-0.007991004
30960.036,360.036,0.892214519,-0.008082706
30600.036,360.036,0.897386154,-0.008176538
30240.036,360.036,0.902648775,-0.008272573
29880.036,360.036,0.908005082,-0.008370891
29520.036,360.036,0.913457887,-0.008471574
29160.036,360.036,0.919010124,-0.008574708
28800.036,360.036,0.924664851,-0.008680385
28440.036,360.036,0.930425261,-0.008788699
28080.036,360.036,0.936294688,-0.00889975
27720.036,360.036,0.942276614,-0.009013643
27360.036,360.036,0.948374679,-0.009130489
27000.036,360.036,0.954592691,-0.009250405
26640.036,360.036,0.960934634,-0.009373512
26280.036,360.036,0.967404681,-0.00949994
25920.036,360.036,0.974007202,-0.009629825
25560.036,360.036,0.980746783,-0.009763311
25200.036,360.036,0.98762823,-0.00990055
24840.036,360.036,0.994656592,-0.010041702
24480.036,360.036,1.001837172,-0.010186937
24120.036,360.036,1.009175545,-0.010336434
23760.036,360.036,1.016677576,-0.010490385
23400.036,360.036,1.024349441,-0.010648991
23040.036,360.036,1.032197645,-0.010812467
22680.036,360.036,1.040229049,-0.01098104
22320.036,360.036,1.048450893,-0.011154953
21960.036,360.036,1.056870824,-0.011334463
21600.036,360.036,1.065496926,-0.011519845
21240.036,360.036,1.074337753,-0.011711391
20880.036,360.036,1.083402364,-0.011909416
20520.036,360.036,1.092700361,-0.012114252
20160.036,360.036,1.102241936,-0.012326257
19800.036,360.036,1.112037911,-0.012545816
19440.036,360.036,1.122099797,-0.012773337
19080.036,360.036,1.132439845,-0.013009263
18720.036,360.036,1.143071114,-0.013254069
18360.036,360.036,1.154007534,-0.013508264
18000.036,360.036,1.165263989,-0.013772401
35640.036,720.036,1.171018868,-0.012974778
17640.036,360.036,1.176856399,-0.014047073
35280.036,720.036,1.176858418,-0.01310433
34920.036,720.036,1.182786209,-0.013236495
17280.036,360.036,1.188801814,-0.014332924
34560.036,720.036,1.188804486,-0.013371353
34200.036,720.036,1.194915575,-0.013508987
16920.036,360.036,1.201118522,-0.01463065
33840.036,720.036,1.201121887,-0.013649484
33480.036,720.036,1.20742592,-0.013792934
16560.036,360.036,1.213826165,-0.014941007
33120.036,720.036,1.213830265,-0.013939431
32760.036,720.036,1.220337613,-0.014089074
16200.036,360.036,1.226945871,-0.015264817
32400.036,720.036,1.226950753,-0.014241964
32040.036,720.036,1.233672584,-0.01439821
15840.036,360.036,1.240500401,-0.015602973
31680.036,720.036,1.240506116,-0.014557921
31320.036,720.036,1.247454477,-0.014721215
15480.036,360.036,1.254514319,-0.015956451
30960.036,720.036,1.25452092,-0.014888214
30600.036,720.036,1.261708827,-0.015059046
15120.036,360.036,1.269014174,-0.016326315
30240.036,720.036,1.26902172,-0.015233843
29880.036,720.036,1.276463261,-0.015412746
14760.036,360.036,1.284028715,-0.016713733
29520.036,720.036,1.284037269,-0.015595901
29160.036,720.036,1.291747721,-0.015783461
14400.036,360.036,1.299589129,-0.017119984
28800.036,720.036,1.299598762,-0.015975587
28440.036,720.036,1.307594718,-0.016172449
14040.036,360.036,1.315729316,-0.017546476
28080.036,720.036,1.315740103,-0.016374222
27720.036,720.036,1.324039629,-0.016581094
13680.036,360.036,1.332486197,-0.01799476
27360.036,720.036,1.332498221,-0.01679326
27000.036,720.036,1.341121025,-0.017010927
13320.036,360.036,1.349900071,-0.01846655
26640.036,720.036,1.349913424,-0.017234309
26280.036,720.036,1.358881051,-0.017463637
12960.036,360.036,1.368015025,-0.018963745
25920.036,720.036,1.368029806,-0.01769915
25560.036,720.036,1.377365868,-0.017941102
12600.036,360.036,1.386879399,-0.019488453
25200.036,720.036,1.386895718,-0.01818976
24840.036,720.036,1.396626154,-0.018445409
12240.036,360.036,1.406546335,-0.020043024
24480.036,720.036,1.406564313,-0.018708345
24120.036,720.036,1.416717692,-0.018978887
11880.036,360.036,1.427074402,-0.020630081
23760.036,720.036,1.427094173,-0.019257367
35640.036,1080.036,1.427100506,-0.018799766
