alpha_1,alpha_2,imaginary,real
32400.036,1080.036,2.214731248,-0.704326833
21600.036,720.036,2.215131579,-0.705535006
10800.036,360.036,2.216328611,-0.7091592
32040.036,1080.036,2.227932144,-0.704350241
21240.036,720.036,2.235013855,-0.705589418
31680.036,1080.036,2.241342652,-0.704374122
31320.036,1080.036,2.254968545,-0.70439849
20880.036,720.036,2.255374307,-0.705645524
10440.036,360.036,2.256587483,-0.709386279
30960.036,1080.036,2.268815821,-0.70442336
20520.036,720.036,2.276232992,-0.705703403
30600.036,1080.036,2.282890714,-0.704448747
30240.036,1080.036,2.297199709,-0.704474667
20160.036,720.036,2.297611169,-0.70576314
10080.036,360.036,2.298841281,-0.709628191
29880.036,1080.036,2.311749552,-0.704501138
19800.036,720.036,2.31953139,-0.705824826
29520.036,1080.036,2.326547265,-0.704528176
29160.036,1080.036,2.34160016,-0.704555801
19440.036,720.036,2.342017606,-0.705888557
9720.036,360.036,2.343265507,-0.709886431
28800.036,1080.036,2.356915857,-0.704584031
19080.036,720.036,2.365095279,-0.705954436
28440.036,1080.036,2.372502296,-0.704612886
28080.036,1080.036,2.388367761,-0.704642387
18720.036,720.036,2.388791505,-0.706022573
9360.036,360.036,2.390058118,-0.710162706
27720.036,1080.036,2.404520893,-0.704672555
18360.036,720.036,2.413135158,-0.706093084
27360.036,1080.036,2.420970717,-0.704703414
27000.036,1080.036,2.437726655,-0.704734986
18000.036,720.036,2.438157036,-0.706166095
9000.036,360.036,2.439443362,-0.710458964
35640.036,1440.036,2.450284052,-0.704036905
26640.036,1080.036,2.454798558,-0.704767298
35280.036,1440.036,2.463238971,-0.704054707
17640.036,720.036,2.463890032,-0.706241741
26280.036,1080.036,2.472196726,-0.704800374
34920.036,1440.036,2.476380388,-0.704072819
34560.036,1440.036,2.489712928,-0.704091248
25920.036,1080.036,2.489931936,-0.704834241
17280.036,720.036,2.490369322,-0.706320165
8640.036,360.036,2.491676452,-0.710777445
34200.036,1440.036,2.503241377,-0.704110002
25560.036,1080.036,2.508015472,-0.704868929
33840.036,1440.036,2.516970693,-0.70412909
16920.036,720.036,2.517632571,-0.706401523
25200.036,1080.036,2.526459153,-0.704904466
33480.036,1440.036,2.530906009,-0.704148521
33120.036,1440.036,2.545052646,-0.704168303
24840.036,1080.036,2.545275371,-0.704940885
16560.036,720.036,2.545720164,-0.70648598
8280.036,360.036,2.547049286,-0.711120731
32760.036,1440.036,2.559416117,-0.704188447
24480.036,1080.036,2.564477122,-0.704978216
32400.036,1440.036,2.574002143,-0.704208961
16200.036,720.036,2.574675468,-0.706573715
24120.036,1080.036,2.584078048,-0.705016496
32040.036,1440.036,2.588816656,-0.704229856
31680.036,1440.036,2.603865812,-0.704251143
23760.036,1080.036,2.604092477,-0.70505576
15840.036,720.036,2.604545116,-0.706664921
7920.036,360.036,2.605897529,-0.711491823
31320.036,1440.036,2.619156004,-0.704272831
23400.036,1080.036,2.624535467,-0.705096045
30960.036,1440.036,2.634693869,-0.704294933
15480.036,720.036,2.635379333,-0.706759805
23040.036,1080.036,2.645422861,-0.705137391
30600.036,1440.036,2.650486307,-0.70431746
30240.036,1440.036,2.666540486,-0.704340424
22680.036,1080.036,2.666771332,-0.705179841
15120.036,720.036,2.667232299,-0.706858593
7560.036,360.036,2.668609431,-0.711894219
29880.036,1440.036,2.682863865,-0.704363837
22320.036,1080.036,2.688598442,-0.705223437
29520.036,1440.036,2.699464201,-0.704387713
14760.036,720.036,2.700162563,-0.706961528
21960.036,1080.036,2.71092271,-0.705268226
29160.036,1440.036,2.716349569,-0.704412064
28800.036,1440.036,2.733528378,-0.704436905
21600.036,1080.036,2.733763671,-0.705314256
14400.036,720.036,2.734233499,-0.707068872
7200.036,360.036,2.735636919,-0.712332025
35640.036,1800.036,2.747346725,-0.703925914
28440.036,1440.036,2.751009389,-0.70446225
21240.036,1080.036,2.757141957,-0.70536158
35280.036,1800.036,2.76150442,-0.70394159
28080.036,1440.036,2.768801735,-0.704488113
14040.036,720.036,2.769513835,-0.707180911
34920.036,1800.036,2.775864981,-0.703957514
20880.036,1080.036,2.78107937,-0.70541025
27720.036,1440.036,2.78691494,-0.704514511
34560.036,1800.036,2.790433386,-0.703973691
34200.036,1800.036,2.80521479,-0.703990126
27360.036,1440.036,2.805358939,-0.70454146
20520.036,1080.036,2.805598975,-0.705460324
13680.036,720.036,2.806078249,-0.707297956
6840.036,360.036,2.807509694,-0.712810092
33840.036,1800.036,2.820214525,-0.704006826
27000.036,1440.036,2.824144108,-0.704568975
20160.036,1080.036,2.830725194,-0.705511862
33480.036,1800.036,2.835438114,-0.704023796
26640.036,1440.036,2.843281282,-0.704597075
13320.036,720.036,2.844008047,-0.707420345
33120.036,1800.036,2.850891279,-0.704041044
19800.036,1080.036,2.856483906,-0.705564926
26280.036,1440.036,2.862781786,-0.704625778
32760.036,1800.036,2.866579947,-0.704058574
32400.036,1800.036,2.882510263,-0.704076394
25920.036,1440.036,2.882657461,-0.704655101
