alpha_1,alpha_2,Imag,Real
720.036,24120.036,18.40452098,-6.725357491
720.036,24480.036,18.40864048,-6.725120263
720.036,24840.036,18.41264264,-6.724889745
720.036,25200.036,18.4165324,-6.724665657
720.036,25560.036,18.42031442,-6.724447732
720.036,25920.036,18.42399313,-6.724235721
720.036,26280.036,18.42757269,-6.724029386
720.036,26640.036,18.43105707,-6.723828502
720.036,27000.036,18.43445,-6.723632855
720.036,27360.036,18.43775505,-6.723442244
720.036,27720.036,18.44097558,-6.723256477
720.036,28080.036,18.4441148,-6.723075371
720.036,28440.036,18.44717574,-6.722898753
720.036,28800.036,18.4501613,-6.722726459
720.036,29160.036,18.45307423,-6.722558331
720.036,29520.036,18.45591714,-6.72239422
720.036,29880.036,18.45869254,-6.722233984
720.036,30240.036,18.4614028,-6.722077487
720.036,30600.036,18.46405018,-6.721924601
720.036,30960.036,18.46663684,-6.721775201
720.036,31320.036,18.46916486,-6.721629169
720.036,31680.036,18.47163621,-6.721486393
720.036,32040.036,18.47405277,-6.721346766
720.036,32400.036,18.47641633,-6.721210184
720.036,32760.036,18.47872864,-6.721076548
720.036,33120.036,18.48099133,-6.720945765
720.036,33480.036,18.48320598,-6.720817744
720.036,33840.036,18.48537412,-6.720692398
720.036,34200.036,18.48749718,-6.720569645
720.036,34560.036,18.48957656,-6.720449405
720.036,34920.036,18.4916136,-6.720331601
720.036,35280.036,18.49360958,-6.72021616
720.036,35640.036,18.49556572,-6.720103012
1080.036,0.036,0,-0.379844945
1080.036,360.036,7.469130313,-7.104907882
1080.036,720.036,10.8097575,-7.033930219
1080.036,1080.036,12.53570353,-6.983617512
1080.036,1440.036,13.62508596,-6.946405198
1080.036,1800.036,14.38172546,-6.917883563
1080.036,2160.036,14.939705,-6.895377504
1080.036,2520.036,15.368834,-6.877190091
1080.036,2880.036,15.70939282,-6.862200033
1080.036,3240.036,15.98636079,-6.849639542
1080.036,3600.036,16.21609008,-6.838966491
1080.036,3960.036,16.40974963,-6.829787802
1080.036,4320.036,16.5752349,-6.821811844
1080.036,4680.036,16.7182885,-6.814817857
1080.036,5040.036,16.84318879,-6.808635763
1080.036,5400.036,16.95318943,-6.803132465
1080.036,5760.036,17.05080938,-6.798202351
1080.036,6120.036,17.1380294,-6.793760574
1080.036,6480.036,17.21642872,-6.789738196
1080.036,6840.036,17.28728195,-6.786078641
1080.036,7200.036,17.35162923,-6.782735047
1080.036,7560.036,17.41032781,-6.779668274
1080.036,7920.036,17.46409058,-6.776845374
1080.036,8280.036,17.51351526,-6.774238423
1080.036,8640.036,17.55910673,-6.771823593
1080.036,9000.036,17.60129446,-6.769580435
1080.036,9360.036,17.64044601,-6.767491295
1080.036,9720.036,17.67687787,-6.76554086
1080.036,10080.036,17.71086397,-6.763715776
1080.036,10440.036,17.74264267,-6.76200435
1080.036,10800.036,17.77242231,-6.760396296
